Performance_ID,Student_ID,Subject_Name,Year,Term,Score,Grade
PERF001,STD001,English Studies,SS1,First Term,82,F9
PERF002,STD001,English Studies,SS1,Second Term,69,F9
PERF003,STD001,English Studies,SS1,Third Term,86,E8
PERF004,STD001,English Studies,SS2,First Term,66,B2
PERF005,STD001,English Studies,SS2,Second Term,84,A1
PERF006,STD001,English Studies,SS2,Third Term,70,C6
PERF007,STD001,English Studies,SS3,First Term,53,B3
PERF008,STD001,English Studies,SS3,Second Term,51,C4
PERF009,STD001,English Studies,SS3,Third Term,78,E8
PERF010,STD001,Mathematics,SS1,First Term,85,E8
PERF011,STD001,Mathematics,SS1,Second Term,45,B3
PERF012,STD001,Mathematics,SS1,Third Term,83,A1
PERF013,STD001,Mathematics,SS2,First Term,97,F9
PERF014,STD001,Mathematics,SS2,Second Term,41,F9
PERF015,STD001,Mathematics,SS2,Third Term,61,E8
PERF016,STD001,Mathematics,SS3,First Term,56,C6
PERF017,STD001,Mathematics,SS3,Second Term,99,C5
PERF018,STD001,Mathematics,SS3,Third Term,84,C4
PERF019,STD001,Civic Education,SS1,First Term,82,C6
PERF020,STD001,Civic Education,SS1,Second Term,46,E8
PERF021,STD001,Civic Education,SS1,Third Term,99,A1
PERF022,STD001,Civic Education,SS2,First Term,49,C6
PERF023,STD001,Civic Education,SS2,Second Term,49,E8
PERF024,STD001,Civic Education,SS2,Third Term,73,E8
PERF025,STD001,Civic Education,SS3,First Term,74,B2
PERF026,STD001,Civic Education,SS3,Second Term,95,B3
PERF027,STD001,Civic Education,SS3,Third Term,76,B3
PERF028,STD001,Geography,SS1,First Term,71,B3
PERF029,STD001,Geography,SS1,Second Term,82,A1
PERF030,STD001,Geography,SS1,Third Term,53,C4
PERF031,STD001,Geography,SS2,First Term,61,A1
PERF032,STD001,Geography,SS2,Second Term,49,B3
PERF033,STD001,Geography,SS2,Third Term,83,E8
PERF034,STD001,Geography,SS3,First Term,65,D7
PERF035,STD001,Geography,SS3,Second Term,74,E8
PERF036,STD001,Geography,SS3,Third Term,52,C4
PERF037,STD001,Agricultural Science,SS1,First Term,80,B2
PERF038,STD001,Agricultural Science,SS1,Second Term,86,B2
PERF039,STD001,Agricultural Science,SS1,Third Term,64,C5
PERF040,STD001,Agricultural Science,SS2,First Term,88,C4
PERF041,STD001,Agricultural Science,SS2,Second Term,67,C6
PERF042,STD001,Agricultural Science,SS2,Third Term,53,C6
PERF043,STD001,Agricultural Science,SS3,First Term,40,D7
PERF044,STD001,Agricultural Science,SS3,Second Term,49,E8
PERF045,STD001,Agricultural Science,SS3,Third Term,43,B2
